site_id,source_network,name,latitude,longitude,elevation_m,state,country,start_date,end_date,metadata
gby01,coagmet,Granby,40.1047,-105.943,2411,CO,USA,2018-04-23,,"{""coagmet_raw"": {""active"": ""active"", ""anemometerHeight"": 3.0, ""elevation"": 2411, ""firstObs"": ""2018-04-23"", ""irrigation"": ""full"", ""lastObs"": ""2026-05-09"", ""lat"": 40.1047, ""location"": ""1 mile N of Granby"", ""lon"": -105.943, ""name"": ""Granby"", ""network"": ""Coag"", ""station"": ""gby01"", ""timestep"": 300, ""units"": ""m""}, ""coagmet_station_id"": ""gby01""}"
gjc01,coagmet,Grand Junction,39.1752,-108.632,1484,CO,USA,1993-10-01,2009-05-11,"{""coagmet_raw"": {""active"": ""inactive"", ""anemometerHeight"": 2.0, ""elevation"": 1484, ""firstObs"": ""1993-10-01"", ""irrigation"": ""dry"", ""lastObs"": ""2009-05-11"", ""lat"": 39.1752, ""location"": ""3 mi NW Grand Junction"", ""lon"": -108.632, ""name"": ""Grand Junction"", ""network"": ""Coag"", ""station"": ""gjc01"", ""timestep"": 3600, ""units"": ""m""}, ""coagmet_station_id"": ""gjc01""}"
gly03,coagmet,Greeley,40.4394,-104.647,1426,CO,USA,1992-03-04,2010-06-16,"{""coagmet_raw"": {""active"": ""inactive"", ""anemometerHeight"": 2.0, ""elevation"": 1426, ""firstObs"": ""1992-03-04"", ""irrigation"": ""part"", ""lastObs"": ""2010-06-16"", ""lat"": 40.4394, ""location"": ""2.5 mi NE Greeley"", ""lon"": -104.647, ""name"": ""Greeley"", ""network"": ""Coag"", ""station"": ""gly03"", ""timestep"": 3600, ""units"": ""m""}, ""coagmet_station_id"": ""gly03""}"
gly04,coagmet,Greeley 4,40.4487,-104.638,1427,CO,USA,2007-11-30,,"{""coagmet_raw"": {""active"": ""active"", ""anemometerHeight"": 2.0, ""elevation"": 1427, ""firstObs"": ""2007-11-30"", ""irrigation"": ""full"", ""lastObs"": ""2026-05-09"", ""lat"": 40.4487, ""location"": ""1.5 mi N of Greeley Airport"", ""lon"": -104.638, ""name"": ""Greeley 4"", ""network"": ""Coag"", ""station"": ""gly04"", ""timestep"": 300, ""units"": ""m""}, ""coagmet_station_id"": ""gly04""}"
gun01,coagmet,Gunnison,38.6135,-106.9015,2406,CO,USA,2015-02-25,,"{""coagmet_raw"": {""active"": ""active"", ""anemometerHeight"": 2.0, ""elevation"": 2406, ""firstObs"": ""2015-02-25"", ""irrigation"": ""full"", ""lastObs"": ""2026-05-09"", ""lat"": 38.6135, ""location"": ""5 miles North of Gunnison"", ""lon"": -106.9015, ""name"": ""Gunnison"", ""network"": ""Coag"", ""station"": ""gun01"", ""timestep"": 300, ""units"": ""m""}, ""coagmet_station_id"": ""gun01""}"
gun02,coagmet,Gunnison 2,38.485,-106.6806,2426,CO,USA,2025-10-03,,"{""coagmet_raw"": {""active"": ""active"", ""anemometerHeight"": 2.0, ""elevation"": 2426, ""firstObs"": ""2025-10-03"", ""irrigation"": ""full"", ""lastObs"": ""2026-05-09"", ""lat"": 38.485, ""location"": ""15 miles east of Gunnison"", ""lon"": -106.6806, ""name"": ""Gunnison 2"", ""network"": ""Coag"", ""station"": ""gun02"", ""timestep"": 300, ""units"": ""m""}, ""coagmet_station_id"": ""gun02""}"
gyp01,coagmet,Gypsum,39.6344,-106.947,1972,CO,USA,2017-10-11,,"{""coagmet_raw"": {""active"": ""active"", ""anemometerHeight"": 3.0, ""elevation"": 1972, ""firstObs"": ""2017-10-11"", ""irrigation"": ""part"", ""lastObs"": ""2026-05-09"", ""lat"": 39.6344, ""location"": ""1 mi S Gypsum"", ""lon"": -106.947, ""name"": ""Gypsum"", ""network"": ""Coag"", ""station"": ""gyp01"", ""timestep"": 300, ""units"": ""m""}, ""coagmet_station_id"": ""gyp01""}"
heb01,coagmet,Hebron,40.5455,-106.388,2490,CO,USA,2009-06-10,,"{""coagmet_raw"": {""active"": ""active"", ""anemometerHeight"": 2.0, ""elevation"": 2490, ""firstObs"": ""2009-06-10"", ""irrigation"": ""full"", ""lastObs"": ""2026-05-09"", ""lat"": 40.5455, ""location"": ""13 miles SW of Walden"", ""lon"": -106.388, ""name"": ""Hebron"", ""network"": ""Coag"", ""station"": ""heb01"", ""timestep"": 300, ""units"": ""m""}, ""coagmet_station_id"": ""heb01""}"
hly01,coagmet,Holly,38.1198,-102.1605,1092,CO,USA,2001-09-27,,"{""coagmet_raw"": {""active"": ""active"", ""anemometerHeight"": 2.0, ""elevation"": 1092, ""firstObs"": ""2001-09-27"", ""irrigation"": ""part"", ""lastObs"": ""2026-05-09"", ""lat"": 38.1198, ""location"": ""5 mi NW Holly"", ""lon"": -102.1605, ""name"": ""Holly"", ""network"": ""Coag"", ""station"": ""hly01"", ""timestep"": 300, ""units"": ""m""}, ""coagmet_station_id"": ""hly01""}"
hly02,coagmet,Holly 2,38.1361,-102.2405,1088,CO,USA,2005-05-21,,"{""coagmet_raw"": {""active"": ""active"", ""anemometerHeight"": 2.0, ""elevation"": 1088, ""firstObs"": ""2005-05-21"", ""irrigation"": ""full"", ""lastObs"": ""2026-05-09"", ""lat"": 38.1361, ""location"": ""8.5 mi NW Holly"", ""lon"": -102.2405, ""name"": ""Holly 2"", ""network"": ""Coag"", ""station"": ""hly02"", ""timestep"": 300, ""units"": ""m""}, ""coagmet_station_id"": ""hly02""}"
